lemma,plural,stem_final,opportunity,ur,predicted_sr,attested_sr,category,normalisations,ipa_edit,feature_edit,rule_edit,total_distance,cluster
crezământ,crezăminte,t,e,krezəmɨnte,krezəmɨnte,krezəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
creștet,creștete,t,e,kreʃtete,kreʃtete,kreʃtete,RULE_FAILURE,,0.0,0.0,1,0.3,
crețușcă,crețuște,c,e,,,kret͡suʃte,UR_BUILD_FAILED,,,,,,
crisopraz,crisopreze,z,e,krisopraze,krisopraze,krisopreze,RULE_FAILURE,,1.0,0.0,0,0.2,
croasant,croasante,t,e,krwasante,krwasante,kroasante,RULE_FAILURE,,1.0,0.0,0,0.2,
cruciadă,cruciade,d,e,krut͡ʃade,krut͡ʃade,krut͡ʃiade,RULE_FAILURE,,1.0,0.0,0,0.2,
crudătate,crudătatăți,t,i,krudətaTi,krudətat͡sj,krudətatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
crâncinătate,crâncinătatăți,t,i,krɨnt͡ʃinətaTi,krɨnt͡ʃinətat͡sj,krɨnt͡ʃinətatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
crăiasă,crăiese,s,e,krəjase,krəjase,krəiese,RULE_FAILURE,,2.0,0.0,0,0.4,
cuadrant,cuadrante,t,e,kwadrante,kwadrante,kuadrante,RULE_FAILURE,,1.0,0.0,0,0.2,
cuantă,cuante,t,e,kwante,kwante,kuante,RULE_FAILURE,,1.0,0.0,0,0.2,
cuartet,cuartete,t,e,kwartete,kwartete,kuartete,RULE_FAILURE,,1.0,0.0,0,0.2,
cuartă,cuarte,t,e,kwarte,kwarte,kuarte,RULE_FAILURE,,1.0,0.0,0,0.2,
cucuțică,cucuțele,c,e,kukut͡siKe,kukut͡sit͡ʃe,kukut͡sele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
culbeceasă,culbecese,s,e,kulbet͡ʃase,kulbet͡ʃase,kulbet͡ʃese,RULE_FAILURE,,1.0,0.0,0,0.2,
cumnățică,cumnățele,c,e,,,kumnət͡sele,UR_BUILD_FAILED,,,,,,
cumplitate,cumplitatăți,t,i,kumplitaTi,kumplitat͡sj,kumplitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
cumpătate,cumpătatăți,t,i,kumpətaTi,kumpətat͡sj,kumpətatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
cumăt,cumeți,t,i,kuməTi,kumət͡sj,kumet͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
cununică,cununele,c,e,kununiKe,kununit͡ʃe,kununele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
curcubătă,curcubete,t,e,kurkubəte,kurkubəte,kurkubete,RULE_FAILURE,,1.0,0.0,0,0.2,
curut,curuți,t,i,t͡ʃuruTi,t͡ʃurut͡sj,kurut͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
cuvânt,cuvinte,t,e,kuvɨnte,kuvɨnte,kuvinte,RULE_FAILURE,,1.0,0.0,0,0.2,
cușcă,cuști,c,i,kuʃKi,kuʃtj,kuʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
cyborg,cyborgi,g,i,sajborGi,sajbord͡ʒj,kybord͡ʒi,RULE_FAILURE,,4.0,0.0,0,0.8,
câmpulungeancă,câmpulungence,c,e,kɨmpulund͡ʒanKe,kɨmpulund͡ʒant͡ʃe,kɨmpulund͡ʒent͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
cârmită,cârmițe,t,e,kɨrmite,kɨrmite,kɨrmit͡se,RULE_FAILURE,,2.0,1.0,0,0.9,
cârșag,cârșege,g,e,kɨrʃaGe,kɨrʃad͡ʒe,kɨrʃed͡ʒe,RULE_FAILURE,,1.0,0.0,0,0.2,
câșlăreasă,câșlărese,s,e,kɨʃlərease,kɨʃlərease,kɨʃlərese,NORM_EA_MONOPHTHONG,EA_MONOPHTHONG,0.0,0.0,1,0.3,
câștig,câștiguri,g,uri,kɨʃtiɡuri,kɨʃtiɡurj,kɨʃtiɡuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
căldărușcă,căldăruște,c,e,kəldəruʃKe,kəldəruʃte,kəldəruʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
căletcă,căletci,c,i,kəleTKi,kəlet͡st͡ʃj,kəlett͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
călicică,călicicele,c,e,kəlit͡ʃiKe,kəlit͡ʃit͡ʃe,kəlit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
căpaucă,căpauce,c,e,kəpawKe,kəpawt͡ʃe,kəpaut͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
căpătușcă,căpătuști,c,i,kəpətuʃKi,kəpətuʃtj,kəpətuʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
căpșunică,căpșunele,c,e,kəpʃuniKe,kəpʃunit͡ʃe,kəpʃunele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
căruntate,căruntatăți,t,i,kəruntaTi,kəruntat͡sj,kəruntatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
dajd,dajdi,d,i,daʒDi,daʒdj,daʒdi,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,2,0.6,
debutant,debutanți,t,i,debjutənTi,debjutənt͡sj,debutant͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
decidabilitate,decidabilitatăți,t,i,det͡ʃidabilitaTi,det͡ʃidabilitat͡sj,det͡ʃidabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
defect,defecte,t,e,difeKTe,difekte,defekte,RULE_FAILURE,,1.0,0.0,0,0.2,ct(ă)+e
defectivitate,defectivitatăți,t,i,defektivitaTi,defektivitat͡sj,defektivitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
delcou,delcouri,c,uri,delkouuri,delkouurj,delkouri,RULE_FAILURE,,2.0,0.0,0,0.4,
deochi,deochiuri,c,uri,deokuri,deokurj,deokiuri,RULE_FAILURE,,2.0,0.0,0,0.4,
deportat,deportați,t,i,dəpurtaTi,dəpurtat͡sj,deportat͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
descendent,descendenți,t,i,dəsəndenTi,dəsəndent͡sj,dest͡ʃendent͡si,RULE_FAILURE,,6.0,0.0,0,1.2,
descindământ,descindăminți,t,i,dest͡ʃindəmɨnTi,dest͡ʃindəmɨnt͡sj,dest͡ʃindəmint͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
desert,deserturi,t,uri,dezəturi,dezəturj,deserturi,RULE_FAILURE,,4.0,0.0,0,0.8,
desitate,desitatăți,t,i,desitaTi,desitat͡sj,desitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
dessous,dessous-uri,s,uri,dəsuuri,dəsuurj,dessous-uri,RULE_FAILURE,,6.0,0.0,0,1.2,
destulătate,destulătatăți,t,i,destulətaTi,destulətat͡sj,destulətatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
detectabilitate,detectabilitatăți,t,i,detektabilitaTi,detektabilitat͡sj,detektabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
deznodământ,deznodăminte,t,e,deznodəmɨnte,deznodəmɨnte,deznodəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
deșt,dește,t,e,deʃte,deʃte,deʃte,RULE_FAILURE,,0.0,0.0,1,0.3,
diac,dieci,c,i,diaKi,diat͡ʃj,diet͡ʃi,RULE_FAILURE,,2.0,0.0,0,0.4,
dilatabilitate,dilatabilitatăți,t,i,dilatabilitaTi,dilatabilitat͡sj,dilatabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
dilimache,dilii,c,i,dilimaKi,dilimat͡ʃj,dilii,RULE_FAILURE,,6.0,6.0,0,4.2,
diochi,diochiuri,c,uri,diokuri,diokurj,diokiuri,RULE_FAILURE,,2.0,0.0,0,0.4,
diplococ,diplococi,c,i,diplukoKi,diplukot͡ʃj,diplokot͡ʃi,RULE_FAILURE,,2.0,0.0,0,0.4,
dispersitate,dispersitatăți,t,i,dispersitaTi,dispersitat͡sj,dispersitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
dobitoc,dobitoace,c,e,dobitoKe,dobitot͡ʃe,dobitoat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
dovadă,dovezi,d,i,dovaDi,dovazj,dovezi,RULE_FAILURE,,2.0,0.0,0,0.4,
drișcă,driște,c,e,driʃKe,driʃte,driʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
droșcă,droște,c,e,droʃKe,droʃte,droʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
duet,duete,t,e,djuete,djuete,duete,RULE_FAILURE,,1.0,0.0,0,0.2,
dumnezeiasă,dumnezeiese,s,e,dumnezeiase,dumnezeiase,dumnezeiese,RULE_FAILURE,,1.0,0.0,0,0.2,
dumping,dumpinguri,g,uri,dampinɡuri,dampinɡurj,dumpinɡuri,RULE_FAILURE,,2.0,0.0,0,0.4,
dușcă,duște,c,e,duʃKe,duʃte,duʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
dușumică,dușuminci,c,i,duʃumiKi,duʃumit͡ʃj,duʃumint͡ʃi,RULE_FAILURE,,2.0,0.0,0,0.4,
dâmboc,dâmboace,c,e,dɨmboKe,dɨmbot͡ʃe,dɨmboat͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
dălticică,dălticicele,c,e,dəltit͡ʃiKe,dəltit͡ʃit͡ʃe,dəltit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
economicitate,economicitatăți,t,i,ekonomit͡ʃitaTi,ekonomit͡ʃitat͡sj,ekonomit͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
ecou,ecouri,c,uri,ekowuri,ekowurj,ekouri,RULE_FAILURE,,2.0,0.0,0,0.4,
edacitate,edacitatăți,t,i,edat͡ʃitaTi,edat͡ʃitat͡sj,edat͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
efectivitate,efectivitatăți,t,i,efektivitaTi,efektivitat͡sj,efektivitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
efod,efoade,d,e,efode,efode,efoade,RULE_FAILURE,,1.0,0.0,0,0.2,
egocentricitate,egocentricitatăți,t,i,eɡot͡ʃentrit͡ʃitaTi,eɡot͡ʃentrit͡ʃitat͡sj,eɡot͡ʃentrit͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
emasculat,emasculaturi,t,uri,əməskulaturi,əməskulaturj,emaskulaturi,RULE_FAILURE,,3.0,0.0,0,0.6,
emoționabilitate,emoționabilitatăți,t,i,emot͡sionabilitaTi,emot͡sionabilitat͡sj,emot͡sionabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
episod,episoade,d,e,episode,episode,episoade,RULE_FAILURE,,1.0,0.0,0,0.2,
epizod,epizoade,d,e,epizode,epizode,epizoade,RULE_FAILURE,,1.0,0.0,0,0.2,
erectilitate,erectilitatăți,t,i,erektilitaTi,erektilitat͡sj,erektilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
eremitate,eremitatăți,t,i,eremitaTi,eremitat͡sj,eremitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
ereticitate,ereticitatăți,t,i,eretit͡ʃitaTi,eretit͡ʃitat͡sj,eretit͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
ergot,ergoturi,t,uri,əɡəturi,əɡəturj,erɡoturi,RULE_FAILURE,,4.0,0.0,0,0.8,
eroicitate,eroicitatăți,t,i,eroit͡ʃitaTi,eroit͡ʃitat͡sj,eroit͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
eroitate,eroitatăți,t,i,eroitaTi,eroitat͡sj,eroitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
estet,esteți,t,i,eʃteTi,eʃtet͡sj,estet͡si,RULE_FAILURE,,2.0,0.0,1,0.7,
evazivitate,evazivitatăți,t,i,evazivitaTi,evazivitat͡sj,evazivitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
exactitate,exactități,t,i,eɡzaktitaTi,eɡzaktitat͡sj,eksaktitət͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
exces,excese,s,e,eksese,eksese,ekst͡ʃese,RULE_FAILURE,,3.0,0.0,0,0.6,
export,exporturi,t,uri,ekspoturi,ekspoturj,eksporturi,RULE_FAILURE,,2.0,0.0,0,0.4,
failibilitate,failibilitatăți,t,i,failibilitaTi,failibilitat͡sj,failibilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
fantasticitate,fantasticitatăți,t,i,fantastit͡ʃitaTi,fantastit͡ʃitat͡sj,fantastit͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
fată,fete,t,e,fate,fate,fete,RULE_FAILURE,,1.0,0.0,0,0.2,
fecioarică,feciorele,c,e,fet͡ʃioariKe,fet͡ʃioarit͡ʃe,fet͡ʃiorele,ICA_SUPPLETION,,5.0,6.0,0,4.0,
feciorică,feciorele,c,e,fet͡ʃioriKe,fet͡ʃiorit͡ʃe,fet͡ʃiorele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
feeling,feelinguri,g,uri,filinɡuri,filinɡurj,feelinɡuri,RULE_FAILURE,,3.0,0.0,0,0.6,
feldspat,feldspați,t,i,fəlspaTi,fəlspat͡sj,feldspat͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
